,year,month,region,count
737,2008,11,MANHATTAN,1
738,2008,11,BROOKLYN,4
739,2008,11,STATEN ISLAND,0
740,2008,10,BRONX,1
741,2008,10,QUEENS,1
742,2008,10,MANHATTAN,2
743,2008,10,BROOKLYN,4
744,2008,10,STATEN ISLAND,1
745,2008,9,BRONX,2
746,2008,9,QUEENS,3
747,2008,9,MANHATTAN,2
748,2008,9,BROOKLYN,4
749,2008,9,STATEN ISLAND,0
750,2008,8,BRONX,1
751,2008,8,QUEENS,3
752,2008,8,MANHATTAN,1
753,2008,8,BROOKLYN,0
754,2008,8,STATEN ISLAND,0
755,2008,7,BRONX,0
756,2008,7,QUEENS,1
757,2008,7,MANHATTAN,2
758,2008,7,BROOKLYN,1
759,2008,7,STATEN ISLAND,0
760,2008,5,BRONX,1
761,2008,5,QUEENS,2
762,2008,5,MANHATTAN,2
763,2008,5,BROOKLYN,0
764,2008,5,STATEN ISLAND,1
765,2008,3,BRONX,0
766,2008,3,QUEENS,2
767,2008,3,MANHATTAN,2
768,2008,3,BROOKLYN,3
769,2008,3,STATEN ISLAND,0
770,2008,1,BRONX,4
771,2008,1,QUEENS,10
772,2008,1,MANHATTAN,3
773,2008,1,BROOKLYN,11
774,2008,1,STATEN ISLAND,2
775,2008,2,BRONX,0
776,2008,2,QUEENS,1
777,2008,2,MANHATTAN,1
778,2008,2,BROOKLYN,1
779,2008,2,STATEN ISLAND,0
780,2004,12,BRONX,0
781,2004,12,QUEENS,1
782,2004,12,MANHATTAN,0
783,2004,12,BROOKLYN,1
784,2004,12,STATEN ISLAND,0
785,2004,4,BRONX,1
786,2004,4,QUEENS,0
787,2004,4,MANHATTAN,0
788,2004,4,BROOKLYN,1
789,2004,4,STATEN ISLAND,0
790,2004,6,BRONX,3
791,2004,6,QUEENS,1
792,2004,6,MANHATTAN,2
793,2004,6,BROOKLYN,0
794,2004,6,STATEN ISLAND,0
795,2004,11,BRONX,2
796,2004,11,QUEENS,0
797,2004,11,MANHATTAN,1
798,2004,11,BROOKLYN,2
799,2004,11,STATEN ISLAND,0
800,2004,10,BRONX,3
801,2004,10,QUEENS,0
802,2004,10,MANHATTAN,1
803,2004,10,BROOKLYN,1
804,2004,10,STATEN ISLAND,0
805,2004,9,BRONX,2
806,2004,9,QUEENS,1
807,2004,9,MANHATTAN,1
808,2004,9,BROOKLYN,1
809,2004,9,STATEN ISLAND,0
810,2004,8,BRONX,1
811,2004,8,QUEENS,1
812,2004,8,MANHATTAN,0
813,2004,8,BROOKLYN,0
814,2004,8,STATEN ISLAND,0
815,2004,7,BRONX,1
816,2004,7,QUEENS,0
817,2004,7,MANHATTAN,1
818,2004,7,BROOKLYN,1
819,2004,7,STATEN ISLAND,0
820,2004,5,BRONX,0
821,2004,5,QUEENS,0
822,2004,5,MANHATTAN,1
823,2004,5,BROOKLYN,1
824,2004,5,STATEN ISLAND,0
825,2004,3,BRONX,0
826,2004,3,QUEENS,1
827,2004,3,MANHATTAN,1
828,2004,3,BROOKLYN,1
829,2004,3,STATEN ISLAND,0
830,2004,1,BRONX,2
831,2004,1,QUEENS,0
832,2004,1,MANHATTAN,6
833,2004,1,BROOKLYN,6
834,2004,1,STATEN ISLAND,0
835,2004,2,BRONX,0
836,2004,2,QUEENS,0
837,2004,2,MANHATTAN,0
838,2004,2,BROOKLYN,0
839,2004,2,STATEN ISLAND,0
840,1998,12,BRONX,0
841,1998,12,QUEENS,0
842,1998,12,MANHATTAN,0
