Unnamed: 0,Month,Unemp_rate,year,rate,model,borough
61,2,3.86,2022,6119.0,clfpoly3,BROOKLYN
62,3,3.81,2022,6796.0,clfpoly3,BROOKLYN
63,4,3.76,2022,7613.0,clfpoly3,BROOKLYN
64,5,3.7,2022,8510.0,clfpoly3,BROOKLYN
65,6,3.65,2022,9366.0,clfpoly3,BROOKLYN
66,7,3.59,2022,10131.0,clfpoly3,BROOKLYN
67,8,3.54,2022,10717.0,clfpoly3,BROOKLYN
68,9,3.48,2022,11041.0,clfpoly3,BROOKLYN
69,10,3.43,2022,11047.0,clfpoly3,BROOKLYN
70,11,3.37,2022,10621.0,clfpoly3,BROOKLYN
71,12,3.32,2022,9739.0,clfpoly3,BROOKLYN
0,1,5.1,2017,11629.0,dtc,BROOKLYN
1,2,5.1,2017,10390.0,dtc,BROOKLYN
2,3,4.5,2017,12223.0,dtc,BROOKLYN
